Purchase date,Purchase time,order type,purchase type,order ID,brand name,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,광고비,,,정산금액
,,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,총공급가액,총부가세액,총액,
10/4/2021,10/4/2021 12:33,배달,CREDIT,1XYE00,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 고구마 (180g)","18,000","15,000","18,000",0,0,"2,250",450,"6,000","1,000","5,000","2,727","3,000","4,977","3,723",372,"4,095",0,0,0,"10,905"
10/4/2021,10/4/2021 12:47,배달,CHECK,0VLNR0,,다이어트랩,PAY,"브로콜리 50g, GO단백 닭가슴살 스테이크 KIT, 직접 구운계란 (모두가 아는 찜질방 그 맛)","22,700","16,700","22,700",0,0,"2,505",501,"6,000","1,000","5,000","2,727","3,000","5,232","3,774",377,"4,151",0,0,0,"12,549"
10/4/2021,10/4/2021 13:17,배달,CREDIT,2CV9G0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"28,900","22,900","28,900",0,0,"3,435",687,"6,000","1,000","5,000","2,727","3,000","6,162","3,960",396,"4,356",0,0,0,"18,544"
10/4/2021,10/4/2021 14:32,배달,CREDIT,0WSK80,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"26,300","23,300","26,300",0,0,"3,495",699,"6,000","1,000","5,000","2,727","3,000","6,222","3,972",397,"4,369",0,0,0,"18,931"
10/4/2021,10/4/2021 14:51,배달,CREDIT,16J8G0,,다이어트랩,PAY,"더블 단백질 3 (소고기  닭가슴살) KIT, OP VANI'BANA (ICE) 바닐라바나나 프로틴","28,500","25,500","28,500",0,0,"3,825",765,"6,000","1,000","5,000","2,727","3,000","6,552","4,038",404,"4,442",0,0,0,"21,058"
10/4/2021,10/4/2021 19:00,배달,CREDIT,19VT00,,다이어트랩,PAY,"단호박 (120g)x6, 대추 토마토","26,000","23,000","26,000",0,0,"3,450",690,"6,000","1,000","5,000","2,727","3,000","6,177","3,963",396,"4,359",0,0,0,"18,641"
10/4/2021,10/4/2021 19:24,배달,CREDIT,2K22R0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 연어 스테이크 KIT","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112",0,0,0,"11,388"
10/4/2021,10/4/2021 20:26,배달,CHECK,1P8YR0,,다이어트랩,PAY,(5KIT 선택) only 다이어트 다섯끼 식단,"41,500","38,500","41,500",0,0,"5,775","1,155","6,000","1,000","5,000","2,727","3,000","8,502","4,428",443,"4,871",0,0,0,"33,629"
10/4/2021,10/4/2021 20:27,배달,CHECK,2DAUG0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"27,900","24,900","27,900",0,0,"3,735",747,"6,000","1,000","5,000","2,727","3,000","6,462","4,020",402,"4,422",0,0,0,"20,478"
10/4/2021,10/4/2021 20:29,배달,CHECK,0U7M80,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 핸드드립 아메리카노","19,200","16,200","19,200",0,0,"2,430",486,"6,000","1,000","5,000","2,727","3,000","5,157","3,759",376,"4,135",0,0,0,"12,065"
