거래일,거래일시,결제유형,주문아이디,브랜드명,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,정산금액
,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,
2021-04-14,2021-04-14 20:53,CREDIT,0SDV80,,다이어트랩,CANCEL,"(3KIT 선택) 하루 세끼 다이어트 식단, OP CHOCO (ICE) 초코 프로틴","-34,800","-31,800","-34,800",0,0,"-4,770",-954,"-6,000","-1,000","-5,000","-2,727","-3,000","-7,497","-4,227",-422,"-4,649","-27,151"
2021-04-14,2021-04-14 23:21,CHECK,11KHG0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"26,900","23,900","26,900",0,0,"3,585",717,"6,000","1,000","5,000","2,727","3,000","6,312","3,990",399,"4,389","19,511"
2021-04-15,2021-04-15 10:22,BANK,2BFW00,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"28,300","25,300","27,300","1,000",0,"3,795",759,"6,000","1,000","5,000","2,727","3,000","6,522","4,032",403,"4,435","20,865"
2021-04-15,2021-04-15 10:22,BANK,2BFW00,,다이어트랩,CANCEL,(3KIT 선택) 하루 세끼 다이어트 식단,"-28,300","-25,300","-27,300","-1,000",0,"-3,795",-759,"-6,000","-1,000","-5,000","-2,727","-3,000","-6,522","-4,032",-403,"-4,435","-20,865"
2021-04-15,2021-04-15 11:34,CHECK,1Y25G0,,다이어트랩,PAY,"OP CHOCO (ICE) 초코 프로틴, 더블 단백질 1 (닭가슴살  닭가슴살 스테이크) KIT, 대추 토마토","22,500","19,500","22,500",0,0,"2,925",585,"6,000","1,000","5,000","2,727","3,000","5,652","3,858",386,"4,244","15,256"
2021-04-15,2021-04-15 11:40,BANK,1144G0,,다이어트랩,PAY,"수제 디톡스 파인애플 에이드 (ICE), 연어 스테이크 KIT","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112","11,388"
2021-04-15,2021-04-15 11:40,BANK,1144G0,,다이어트랩,CANCEL,"수제 디톡스 파인애플 에이드 (ICE), 연어 스테이크 KIT","-18,500","-15,500","-18,500",0,0,"-2,325",-465,"-6,000","-1,000","-5,000","-2,727","-3,000","-5,052","-3,738",-374,"-4,112","-11,388"
2021-04-15,2021-04-15 12:23,CHECK,1ACD00,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, OP CHO'COF (ICE) 초코커피 프로틴","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112","11,388"
2021-04-15,2021-04-15 19:17,CREDIT,1EG380,,다이어트랩,PAY,"수제 디톡스 파인애플 에이드 (ICE), 더블 단백질 2 (닭가슴살  닭가슴살 소시지) KIT, 미니양배추 50g, 컬리플라워 50g, 브로콜리 50g, 애기당근 50g","28,000","25,000","28,000",0,0,"3,750",750,"6,000","1,000","5,000","2,727","3,000","6,477","4,023",402,"4,425","20,575"
2021-04-15,2021-04-15 21:03,CHECK,2TVNR0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"30,900","24,900","29,900","1,000",0,"3,735",747,"6,000","1,000","5,000","2,727","3,000","6,462","4,020",402,"4,422","20,478"
2021-04-16,2021-04-16 11:06,CREDIT,09CCR0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"26,400","23,400","26,400",0,0,"3,510",702,"6,000","1,000","5,000","2,727","3,000","6,237","3,975",397,"4,372","19,028"
2021-04-16,2021-04-16 11:10,CREDIT,09CCR0,,다이어트랩,CANCEL,(3KIT 선택) 하루 세끼 다이어트 식단,"-26,400","-23,400","-26,400",0,0,"-3,510",-702,"-6,000","-1,000","-5,000","-2,727","-3,000","-6,237","-3,975",-397,"-4,372","-19,028"
2021-04-16,2021-04-16 22:20,CHECK,2X2AG0,,다이어트랩,PAY,"OP VANI'BLUE (ICE) 바닐라  블루베리 프로틴, 플랫화이트x2","22,500","19,500","22,500",0,0,"2,925",585,"6,000","1,000","5,000","2,727","3,000","5,652","3,858",386,"4,244","15,256"
2021-04-17,2021-04-17 11:00,BANK,2RD700,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"31,300","28,300","31,300",0,0,"4,245",849,"6,000","1,000","5,000","2,727","3,000","6,972","4,122",412,"4,534","23,766"
2021-04-17,2021-04-17 11:41,BANK,2DR080,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"26,400","23,400","26,400",0,0,"3,510",702,"6,000","1,000","5,000","2,727","3,000","6,237","3,975",397,"4,372","19,028"
2021-04-17,2021-04-17 20:27,BANK,0KE500,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"29,400","26,400","29,400",0,0,"3,960",792,"6,000","1,000","5,000","2,727","3,000","6,687","4,065",406,"4,471","21,929"
2021-04-17,2021-04-17 22:08,CREDIT,2J8880,,다이어트랩,PAY,"더블 단백질 3 (소고기  닭가슴살) KIT, OP CHO'BANA (ICE) 초코바나나 프로틴","19,500","16,500","19,500",0,0,"2,475",495,"6,000","1,000","5,000","2,727","3,000","5,202","3,768",377,"4,145","12,355"
2021-04-17,2021-04-17 23:34,BANK,1A9U00,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, 핸드드립 아메리카노","31,400","28,400","31,400",0,0,"4,260",852,"6,000","1,000","5,000","2,727","3,000","6,987","4,125",412,"4,537","23,863"
2021-04-17,2021-04-17 23:34,BANK,1A9U00,,다이어트랩,CANCEL,"(3KIT 선택) 하루 세끼 다이어트 식단, 핸드드립 아메리카노","-31,400","-28,400","-31,400",0,0,"-4,260",-852,"-6,000","-1,000","-5,000","-2,727","-3,000","-6,987","-4,125",-412,"-4,537","-23,863"
2021-04-17,2021-04-17 23:36,BANK,221YR0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 핸드드립 아메리카노","21,000","18,000","21,000",0,0,"2,700",540,"6,000","1,000","5,000","2,727","3,000","5,427","3,813",381,"4,194","13,806"
2021-04-18,2021-04-18 12:09,BANK,2KHLG0,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), GO단백 닭가슴살 스테이크 KIT","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112","11,388"
2021-04-18,2021-04-18 12:47,CREDIT,2M0A80,,다이어트랩,PAY,"OP CHO'COF (ICE) 초코커피 프로틴, 닭가슴살 믹스 샐러드","18,900","15,900","18,900",0,0,"2,385",477,"6,000","1,000","5,000","2,727","3,000","5,112","3,750",375,"4,125","11,775"
2021-04-18,2021-04-18 13:40,CREDIT,1YKTR0,,다이어트랩,PAY,"더블 단백질 1 (닭가슴살  닭가슴살 스테이크) KIT, 단호박 (120g), 컬리플라워 50g, 미니양배추 50g","18,400","15,400","18,400",0,0,"2,310",462,"6,000","1,000","5,000","2,727","3,000","5,037","3,735",373,"4,108","11,292"
2021-04-18,2021-04-18 16:36,CREDIT,0RM200,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, REAL VEGETARIAN KIT (채식)","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112","11,388"
2021-04-18,2021-04-18 16:56,BANK,1UG2G0,,다이어트랩,PAY,(5KIT 선택) only 다이어트 다섯끼 식단,"42,500","39,500","42,500",0,0,"5,925","1,185","6,000","1,000","5,000","2,727","3,000","8,652","4,458",446,"4,904","34,596"
2021-04-18,2021-04-18 18:01,BANK,0AV7R0,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식)x2, 수제 디톡스 파인애플 에이드 (ICE)x2","34,000","31,000","34,000",0,0,"4,650",930,"6,000","1,000","5,000","2,727","3,000","7,377","4,203",420,"4,623","26,377"
2021-04-19,2021-04-19 10:01,BANK,0NAN80,,다이어트랩,PAY,(5KIT 선택) only 다이어트 다섯끼 식단,"47,500","44,500","47,500",0,0,"6,675","1,335","6,000","1,000","5,000","2,727","3,000","9,402","4,608",461,"5,069","39,431"
2021-04-19,2021-04-19 10:16,CREDIT,1431R0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"29,300","26,300","29,300",0,0,"3,945",789,"6,000","1,000","5,000","2,727","3,000","6,672","4,062",406,"4,468","21,832"
