거래일,거래일시,주문유형,결제유형,주문아이디,브랜드명,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,광고비,,,정산금액
,,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,총공급가액,총부가세액,총액,
2021-07-07,2021-07-07 18:59,배달,CREDIT,169FG0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, GO단백 닭가슴살 스테이크 KIT","19,900","16,900","19,900",0,0,"2,535",507,"6,000","1,000","5,000","2,727","3,000","5,262","3,780",378,"4,158",0,0,0,"12,742"
2021-07-07,2021-07-07 21:10,배달,CREDIT,25ND00,,다이어트랩,PAY,GO단백 닭가슴살 KITx2,"34,000","28,000","34,000",0,0,"4,200",840,"6,000","1,000","5,000","2,727","3,000","6,927","4,113",411,"4,524",0,0,0,"23,476"
2021-07-08,2021-07-08 10:48,배달,CREDIT,21N600,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KITx2,"39,000","36,000","39,000",0,0,"5,400","1,080","6,000","1,000","5,000","2,727","3,000","8,127","4,353",435,"4,788",0,0,0,"31,212"
2021-07-08,2021-07-08 11:05,배달,BANK,1K99R0,,다이어트랩,PAY,"더블 단백질 3 (소고기  닭가슴살) KIT, 수제 디톡스 파인애플 에이드 (ICE)","22,500","19,500","22,500",0,0,"2,925",585,"6,000","1,000","5,000","2,727","3,000","5,652","3,858",386,"4,244",0,0,0,"15,256"
2021-07-08,2021-07-08 11:45,배달,CHECK,2RYBR0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"24,900","21,900","24,900",0,0,"3,285",657,"6,000","1,000","5,000","2,727","3,000","6,012","3,930",393,"4,323",0,0,0,"17,577"
2021-07-08,2021-07-08 11:50,배달,CREDIT,1KU4G0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"37,900","31,900","37,900",0,0,"4,785",957,"6,000","1,000","5,000","2,727","3,000","7,512","4,230",423,"4,653",0,0,0,"27,247"
2021-07-08,2021-07-08 12:55,배달,CREDIT,0RELG0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"29,400","23,400","29,400",0,0,"3,510",702,"6,000","1,000","5,000","2,727","3,000","6,237","3,975",397,"4,372",0,0,0,"19,028"
2021-07-08,2021-07-08 14:33,배달,CREDIT,2KMR80,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 수제 디톡스 파인애플 에이드 (ICE)","20,000","17,000","20,000",0,0,"2,550",510,"6,000","1,000","5,000","2,727","3,000","5,277","3,783",378,"4,161",0,0,0,"12,839"
2021-07-08,2021-07-08 17:12,배달,CREDIT,04HVR0,,다이어트랩,PAY,벌크업 소고기 단백질 KIT,"22,000","16,000","22,000",0,0,"2,400",480,"6,000","1,000","5,000","2,727","3,000","5,127","3,753",375,"4,128",0,0,0,"11,872"
2021-07-08,2021-07-08 17:18,배달,CREDIT,2KG6R0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KITx2, OP VANILLA (ICE) 바닐라 프로틴x2","41,000","38,000","41,000",0,0,"5,700","1,140","6,000","1,000","5,000","2,727","3,000","8,427","4,413",441,"4,854",0,0,0,"33,146"
2021-07-08,2021-07-08 18:05,배달,BANK,1SXTR0,,다이어트랩,PAY,"(5KIT 선택) only 다이어트 다섯끼 식단, 모듬 야채 100gx2, 알감자 (140g)x2","51,500","48,500","51,500",0,0,"7,275","1,455","6,000","1,000","5,000","2,727","3,000","10,002","4,728",473,"5,201",0,0,0,"43,299"
2021-07-08,2021-07-08 18:58,배달,CHECK,0XJK00,,다이어트랩,PAY,"GO단백 닭가슴살 KIT, 녹차 라떼 (유기농)","20,700","17,700","20,700",0,0,"2,655",531,"6,000","1,000","5,000","2,727","3,000","5,382","3,804",380,"4,184",0,0,0,"13,516"
2021-07-08,2021-07-08 20:41,배달,CREDIT,012F00,,다이어트랩,PAY,"더블 단백질 3 (소고기  닭가슴살) KIT, 더블 단백질 2 (닭가슴살  닭가슴살 소시지) KIT, 현미밥 (200g)","23,500","20,500","23,500",0,0,"3,075",615,"6,000","1,000","5,000","2,727","3,000","5,802","3,888",389,"4,277",0,0,0,"16,223"
2021-07-09,2021-07-09 10:16,배달,CREDIT,0069G0,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), 탄수화물 에너지 KIT","18,000","15,000","18,000",0,0,"2,250",450,"6,000","1,000","5,000","2,727","3,000","4,977","3,723",372,"4,095",0,0,0,"10,905"
2021-07-09,2021-07-09 10:35,배달,CREDIT,1VYRG0,,다이어트랩,PAY,벌크업 소고기 스테이크 KITx2,"21,000","18,000","21,000",0,0,"2,700",540,"6,000","1,000","5,000","2,727","3,000","5,427","3,813",381,"4,194",0,0,0,"13,806"
2021-07-09,2021-07-09 11:13,배달,BANK,1J3J00,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, 수제 디톡스 파인애플 에이드 (ICE)","33,900","30,900","33,900",0,0,"4,635",927,"6,000","1,000","5,000","2,727","3,000","7,362","4,200",420,"4,620",0,0,0,"26,280"
2021-07-09,2021-07-09 12:04,배달,CREDIT,2AC1G0,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KITx2,"33,000","30,000","33,000",0,0,"4,500",900,"6,000","1,000","5,000","2,727","3,000","7,227","4,173",417,"4,590",0,0,0,"25,410"
2021-07-09,2021-07-09 12:27,배달,BANK,2DWE80,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 대추 토마토, 핸드드립 아메리카노","21,500","18,500","21,500",0,0,"2,775",555,"6,000","1,000","5,000","2,727","3,000","5,502","3,828",383,"4,211",0,0,0,"14,289"
2021-07-09,2021-07-09 13:39,배달,CREDIT,13YHG0,,다이어트랩,PAY,(5KIT 선택) only 다이어트 다섯끼 식단,"44,500","41,500","44,500",0,0,"6,225","1,245","6,000","1,000","5,000","2,727","3,000","8,952","4,518",452,"4,970",0,0,0,"36,530"
2021-07-09,2021-07-09 14:33,배달,CREDIT,08BRG0,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), REAL VEGETARIAN KIT (채식), 브로콜리 50gx3","26,500","23,500","26,500",0,0,"3,525",705,"6,000","1,000","5,000","2,727","3,000","6,252","3,978",398,"4,376",0,0,0,"19,124"
2021-07-09,2021-07-09 16:08,배달,CREDIT,0JVS00,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KITx2,"33,000","30,000","33,000",0,0,"4,500",900,"6,000","1,000","5,000","2,727","3,000","7,227","4,173",417,"4,590",0,0,0,"25,410"
2021-07-09,2021-07-09 17:08,배달,CHECK,1MDRG0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, GO단백 닭가슴살 소시지 KIT","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112",0,0,0,"11,388"
2021-07-09,2021-07-09 17:21,배달,CREDIT,2RDM80,,다이어트랩,PAY,벌크업 소고기 단백질 KIT,"22,800","16,800","22,800",0,0,"2,520",504,"6,000","1,000","5,000","2,727","3,000","5,247","3,777",377,"4,154",0,0,0,"12,646"
2021-07-09,2021-07-09 17:30,배달,BANK,17JPR0,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, 대추 토마토","34,900","31,900","34,900",0,0,"4,785",957,"6,000","1,000","5,000","2,727","3,000","7,512","4,230",423,"4,653",0,0,0,"27,247"
2021-07-09,2021-07-09 18:26,배달,CREDIT,28XP80,,다이어트랩,PAY,벌크업 소고기 단백질 KIT,"22,000","16,000","22,000",0,0,"2,400",480,"6,000","1,000","5,000","2,727","3,000","5,127","3,753",375,"4,128",0,0,0,"11,872"
2021-07-10,2021-07-10 10:04,배달,CHECK,2R3200,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 수제 디톡스 파인애플 에이드 (ICE)","18,000","15,000","18,000",0,0,"2,250",450,"6,000","1,000","5,000","2,727","3,000","4,977","3,723",372,"4,095",0,0,0,"10,905"
